 x    y    z    Ex    Ey    Ez
  -20.000000000000000       -2.0000000000000000        18.000000000000000       -6.1057254775054672E-004  -6.1057256703497253E-005   5.4951531033147524E-004
  -20.000000000000000       -2.0000000000000000        20.000000000000000       -5.6521269530447800E-004  -5.6521257321070874E-005   5.6521257321070877E-004
  -20.000000000000000        0.0000000000000000       -20.000000000000000       -5.6745873753307548E-004   0.0000000000000000       -5.6745888991344097E-004
  -20.000000000000000        0.0000000000000000       -18.000000000000000       -6.1312694852583131E-004   0.0000000000000000       -5.5181420564120228E-004
  -20.000000000000000        0.0000000000000000       -16.000000000000000       -6.5943674424698067E-004   0.0000000000000000       -5.2754949413180772E-004
  -20.000000000000000        0.0000000000000000       -14.000000000000000       -7.0535902001706745E-004   0.0000000000000000       -4.9375148908937063E-004
  -20.000000000000000        0.0000000000000000       -12.000000000000000       -7.4964501955224335E-004   0.0000000000000000       -4.4978712189104044E-004
  -20.000000000000000        0.0000000000000000       -10.000000000000000       -7.9086583514359639E-004   0.0000000000000000       -3.9543294469417904E-004
  -20.000000000000000        0.0000000000000000       -8.0000000000000000       -8.2748520208058510E-004   0.0000000000000000       -3.3099403510282867E-004
  -20.000000000000000        0.0000000000000000       -6.0000000000000000       -8.5796742753610359E-004   0.0000000000000000       -2.5739031678678867E-004
  -20.000000000000000        0.0000000000000000       -4.0000000000000000       -8.8090422516740475E-004   0.0000000000000000       -1.7618085423690483E-004
  -20.000000000000000        0.0000000000000000       -2.0000000000000000       -8.9516185870357244E-004   0.0000000000000000       -8.9516189901398631E-005
  -20.000000000000000        0.0000000000000000        0.0000000000000000       -9.0000064819372773E-004   0.0000000000000000        0.0000000000000000     
  -20.000000000000000        0.0000000000000000        2.0000000000000000       -8.9516185870357244E-004   0.0000000000000000        8.9516189901398631E-005
  -20.000000000000000        0.0000000000000000        4.0000000000000000       -8.8090422516740475E-004   0.0000000000000000        1.7618085423690483E-004
  -20.000000000000000        0.0000000000000000        6.0000000000000000       -8.5796742753610359E-004   0.0000000000000000        2.5739031678678867E-004
  -20.000000000000000        0.0000000000000000        8.0000000000000000       -8.2748520208058510E-004   0.0000000000000000        3.3099403510282867E-004
  -20.000000000000000        0.0000000000000000        10.000000000000000       -7.9086583514359639E-004   0.0000000000000000        3.9543294469417904E-004
  -20.000000000000000        0.0000000000000000        12.000000000000000       -7.4964501955224335E-004   0.0000000000000000        4.4978712189104044E-004
  -20.000000000000000        0.0000000000000000        14.000000000000000       -7.0535902001706745E-004   0.0000000000000000        4.9375148908937063E-004
  -20.000000000000000        0.0000000000000000        16.000000000000000       -6.5943674424698067E-004   0.0000000000000000        5.2754949413180772E-004
  -20.000000000000000        0.0000000000000000        18.000000000000000       -6.1312694852583131E-004   0.0000000000000000        5.5181420564120228E-004
  -20.000000000000000        0.0000000000000000        20.000000000000000       -5.6745873753307548E-004   0.0000000000000000        5.6745888991344097E-004
  -20.000000000000000        2.0000000000000000       -20.000000000000000       -5.6521269530447800E-004   5.6521257321070874E-005  -5.6521257321070877E-004
  -20.000000000000000        2.0000000000000000       -18.000000000000000       -6.1057254775054672E-004   6.1057256703497253E-005  -5.4951531033147524E-004
  -20.000000000000000        2.0000000000000000       -16.000000000000000       -6.5655267581202865E-004   6.5655247063313283E-005  -5.2524197650650627E-004
  -20.000000000000000        2.0000000000000000       -14.000000000000000       -7.0213337367367368E-004   7.0213349720472023E-005  -4.9149344804330414E-004
  -20.000000000000000        2.0000000000000000       -12.000000000000000       -7.4607510626191508E-004   7.4607499028093722E-005  -4.4764499416856239E-004
  -20.000000000000000        2.0000000000000000       -10.000000000000000       -7.8696349017895538E-004   7.8696331074381025E-005  -3.9348165537190512E-004
  -20.000000000000000        2.0000000000000000       -8.0000000000000000       -8.2327794047479621E-004   8.2327776541466424E-005  -3.2931110616586570E-004
  -20.000000000000000        2.0000000000000000       -6.0000000000000000       -8.5349898503957373E-004   8.5349912257660145E-005  -2.5604973677298041E-004
  -20.000000000000000        2.0000000000000000       -4.0000000000000000       -8.7623514606061526E-004   8.7623496620067428E-005  -1.7524699324013486E-004
  -20.000000000000000        2.0000000000000000       -2.0000000000000000       -8.9036708311224190E-004   8.9036725093121687E-005  -8.9036725093121687E-005
  -20.000000000000000        2.0000000000000000        0.0000000000000000       -8.9516185870357244E-004   8.9516189901398631E-005   0.0000000000000000     
  -20.000000000000000        2.0000000000000000        2.0000000000000000       -8.9036708311224190E-004   8.9036725093121687E-005   8.9036725093121687E-005
  -20.000000000000000        2.0000000000000000        4.0000000000000000       -8.7623514606061526E-004   8.7623496620067428E-005   1.7524699324013486E-004
  -20.000000000000000        2.0000000000000000        6.0000000000000000       -8.5349898503957373E-004   8.5349912257660145E-005   2.5604973677298041E-004
  -20.000000000000000        2.0000000000000000        8.0000000000000000       -8.2327794047479621E-004   8.2327776541466424E-005   3.2931110616586570E-004
  -20.000000000000000        2.0000000000000000        10.000000000000000       -7.8696349017895538E-004   7.8696331074381025E-005   3.9348165537190512E-004
  -20.000000000000000        2.0000000000000000        12.000000000000000       -7.4607510626191508E-004   7.4607499028093722E-005   4.4764499416856239E-004
  -20.000000000000000        2.0000000000000000        14.000000000000000       -7.0213337367367368E-004   7.0213349720472023E-005   4.9149344804330414E-004
  -20.000000000000000        2.0000000000000000        16.000000000000000       -6.5655267581202865E-004   6.5655247063313283E-005   5.2524197650650627E-004
  -20.000000000000000        2.0000000000000000        18.000000000000000       -6.1057254775054672E-004   6.1057256703497253E-005   5.4951531033147524E-004
  -20.000000000000000        2.0000000000000000        20.000000000000000       -5.6521269530447800E-004   5.6521257321070874E-005   5.6521257321070877E-004
  -20.000000000000000        4.0000000000000000       -20.000000000000000       -5.5856368194910774E-004   1.1171271563368174E-004  -5.5856357816840864E-004
  -20.000000000000000        4.0000000000000000       -18.000000000000000       -6.0301425008326098E-004   1.2060281388331802E-004  -5.4271266247493113E-004
  -20.000000000000000        4.0000000000000000       -16.000000000000000       -6.4802723493432961E-004   1.2960547208275077E-004  -5.1842188833100308E-004
  -20.000000000000000        4.0000000000000000       -14.000000000000000       -6.9260319727649838E-004   1.3852068597289870E-004  -4.8482240090514549E-004
  -20.000000000000000        4.0000000000000000       -12.000000000000000       -7.3553523909756526E-004   1.4710705024623759E-004  -4.4132115073871274E-004
  -20.000000000000000        4.0000000000000000       -10.000000000000000       -7.7544789506357639E-004   1.5508951845697068E-004  -3.8772379614242670E-004
  -20.000000000000000        4.0000000000000000       -8.0000000000000000       -8.1086793240806954E-004   1.6217354375283550E-004  -3.2434708750567101E-004
  -20.000000000000000        4.0000000000000000       -6.0000000000000000       -8.4032450020579631E-004   1.6806491816330263E-004  -2.5209737724495398E-004
  -20.000000000000000        4.0000000000000000       -4.0000000000000000       -8.6247403685704802E-004   1.7249479789015987E-004  -1.7249479789015987E-004
  -20.000000000000000        4.0000000000000000       -2.0000000000000000       -8.7623514606061526E-004   1.7524699324013486E-004  -8.7623496620067428E-005
  -20.000000000000000        4.0000000000000000        0.0000000000000000       -8.8090422516740475E-004   1.7618085423690483E-004   0.0000000000000000     
  -20.000000000000000        4.0000000000000000        2.0000000000000000       -8.7623514606061526E-004   1.7524699324013486E-004   8.7623496620067428E-005
  -20.000000000000000        4.0000000000000000        4.0000000000000000       -8.6247403685704802E-004   1.7249479789015987E-004   1.7249479789015987E-004
  -20.000000000000000        4.0000000000000000        6.0000000000000000       -8.4032450020579631E-004   1.6806491816330263E-004   2.5209737724495398E-004
  -20.000000000000000        4.0000000000000000        8.0000000000000000       -8.1086793240806954E-004   1.6217354375283550E-004   3.2434708750567101E-004
  -20.000000000000000        4.0000000000000000        10.000000000000000       -7.7544789506357639E-004   1.5508951845697068E-004   3.8772379614242670E-004
  -20.000000000000000        4.0000000000000000        12.000000000000000       -7.3553523909756526E-004   1.4710705024623759E-004   4.4132115073871274E-004
  -20.000000000000000        4.0000000000000000        14.000000000000000       -6.9260319727649838E-004   1.3852068597289870E-004   4.8482240090514549E-004
  -20.000000000000000        4.0000000000000000        16.000000000000000       -6.4802723493432961E-004   1.2960547208275077E-004   5.1842188833100308E-004
  -20.000000000000000        4.0000000000000000        18.000000000000000       -6.0301425008326098E-004   1.2060281388331802E-004   5.4271266247493113E-004
  -20.000000000000000        4.0000000000000000        20.000000000000000       -5.5856368194910774E-004   1.1171271563368174E-004   5.5856357816840864E-004
  -20.000000000000000        6.0000000000000000       -20.000000000000000       -5.4776756595124171E-004   1.6433021276072076E-004  -5.4776737586906916E-004
  -20.000000000000000        6.0000000000000000       -18.000000000000000       -5.9075925089524430E-004   1.7722777505430070E-004  -5.3168332516290205E-004
  -20.000000000000000        6.0000000000000000       -16.000000000000000       -6.3422132046355340E-004   1.9026645597850316E-004  -5.0737721594267503E-004
  -20.000000000000000        6.0000000000000000       -14.000000000000000       -6.7719021378387237E-004   2.0315701392810152E-004  -4.7403303249890353E-004
  -20.000000000000000        6.0000000000000000       -12.000000000000000       -7.1851052023175286E-004   2.1555309769891423E-004  -4.3110619539782845E-004
  -20.000000000000000        6.0000000000000000       -10.000000000000000       -7.5686948190204092E-004   2.2706083575235064E-004  -3.7843472625391777E-004
  -20.000000000000000        6.0000000000000000       -8.0000000000000000       -7.9086583514359639E-004   2.3725976681650743E-004  -3.1634635575534322E-004
  -20.000000000000000        6.0000000000000000       -6.0000000000000000       -8.1910663411589727E-004   2.4573198950292394E-004  -2.4573198950292394E-004
  -20.000000000000000        6.0000000000000000       -4.0000000000000000       -8.4032450020579631E-004   2.5209737724495398E-004  -1.6806491816330263E-004
  -20.000000000000000        6.0000000000000000       -2.0000000000000000       -8.5349898503957373E-004   2.5604973677298041E-004  -8.5349912257660145E-005
  -20.000000000000000        6.0000000000000000        0.0000000000000000       -8.5796742753610359E-004   2.5739031678678867E-004   0.0000000000000000     
  -20.000000000000000        6.0000000000000000        2.0000000000000000       -8.5349898503957373E-004   2.5604973677298041E-004   8.5349912257660145E-005
  -20.000000000000000        6.0000000000000000        4.0000000000000000       -8.4032450020579631E-004   2.5209737724495398E-004   1.6806491816330263E-004
  -20.000000000000000        6.0000000000000000        6.0000000000000000       -8.1910663411589727E-004   2.4573198950292394E-004   2.4573198950292394E-004
